scenario_id,bench_id,tier,replicate,random_seed,min_ttc_s
CUT_IN_60KPH,HIL-A,fixed_seed,1,106316,1.408364
CUT_IN_60KPH,HIL-A,fixed_seed,2,106316,1.408364
CUT_IN_60KPH,HIL-A,fixed_seed,3,106316,1.408364
CUT_IN_60KPH,HIL-A,varied_seed,1,568889,0.781632
CUT_IN_60KPH,HIL-A,varied_seed,2,325120,1.63252
CUT_IN_60KPH,HIL-A,varied_seed,3,213835,1.466025
CUT_IN_60KPH,HIL-A,varied_seed,4,756265,1.630819
CUT_IN_60KPH,HIL-A,varied_seed,5,198788,1.903572
CUT_IN_60KPH,HIL-B,fixed_seed,1,370927,1.380796
CUT_IN_60KPH,HIL-B,fixed_seed,2,370927,1.359425
CUT_IN_60KPH,HIL-B,fixed_seed,3,370927,1.385575
CUT_IN_60KPH,HIL-B,varied_seed,1,359594,1.216262
CUT_IN_60KPH,HIL-B,varied_seed,2,711192,1.424928
CUT_IN_60KPH,HIL-B,varied_seed,3,108484,1.47101
CUT_IN_60KPH,HIL-B,varied_seed,4,774248,1.19892
CUT_IN_60KPH,HIL-B,varied_seed,5,644846,1.33554
CUT_IN_60KPH,HIL-C,fixed_seed,1,562466,1.57441
CUT_IN_60KPH,HIL-C,fixed_seed,2,562466,1.683004
CUT_IN_60KPH,HIL-C,fixed_seed,3,562466,1.405572
CUT_IN_60KPH,HIL-C,varied_seed,1,940974,1.683089
CUT_IN_60KPH,HIL-C,varied_seed,2,753822,1.44378
CUT_IN_60KPH,HIL-C,varied_seed,3,700554,1.392581
CUT_IN_60KPH,HIL-C,varied_seed,4,240444,1.809911
CUT_IN_60KPH,HIL-C,varied_seed,5,611954,1.545488
CUT_IN_100KPH,HIL-A,fixed_seed,1,286219,1.035977
CUT_IN_100KPH,HIL-A,fixed_seed,2,286219,1.035977
CUT_IN_100KPH,HIL-A,fixed_seed,3,286219,1.035977
CUT_IN_100KPH,HIL-A,varied_seed,1,106650,0.757933
CUT_IN_100KPH,HIL-A,varied_seed,2,783759,1.079389
CUT_IN_100KPH,HIL-A,varied_seed,3,902412,0.72762
CUT_IN_100KPH,HIL-A,varied_seed,4,384004,1.107997
CUT_IN_100KPH,HIL-A,varied_seed,5,925864,1.064632
CUT_IN_100KPH,HIL-B,fixed_seed,1,508662,1.076234
CUT_IN_100KPH,HIL-B,fixed_seed,2,508662,1.05425
CUT_IN_100KPH,HIL-B,fixed_seed,3,508662,1.0401
CUT_IN_100KPH,HIL-B,varied_seed,1,185394,0.598683
CUT_IN_100KPH,HIL-B,varied_seed,2,41022,0.830469
CUT_IN_100KPH,HIL-B,varied_seed,3,245074,1.243755
CUT_IN_100KPH,HIL-B,varied_seed,4,394607,0.938959
CUT_IN_100KPH,HIL-B,varied_seed,5,113495,1.027581
CUT_IN_100KPH,HIL-C,fixed_seed,1,837505,1.074128
CUT_IN_100KPH,HIL-C,fixed_seed,2,837505,1.221575
CUT_IN_100KPH,HIL-C,fixed_seed,3,837505,1.179109
CUT_IN_100KPH,HIL-C,varied_seed,1,323430,1.432479
CUT_IN_100KPH,HIL-C,varied_seed,2,325815,0.871673
CUT_IN_100KPH,HIL-C,varied_seed,3,510096,1.125732
CUT_IN_100KPH,HIL-C,varied_seed,4,872346,1.230014
CUT_IN_100KPH,HIL-C,varied_seed,5,987488,0.948574
LEAD_BRAKE_HARD,HIL-A,fixed_seed,1,328517,1.198389
LEAD_BRAKE_HARD,HIL-A,fixed_seed,2,328517,1.198389
LEAD_BRAKE_HARD,HIL-A,fixed_seed,3,328517,1.198389
LEAD_BRAKE_HARD,HIL-A,varied_seed,1,554049,1.270758
LEAD_BRAKE_HARD,HIL-A,varied_seed,2,680389,1.085389
LEAD_BRAKE_HARD,HIL-A,varied_seed,3,117765,1.22614
LEAD_BRAKE_HARD,HIL-A,varied_seed,4,442696,1.243791
LEAD_BRAKE_HARD,HIL-A,varied_seed,5,266903,1.149265
LEAD_BRAKE_HARD,HIL-B,fixed_seed,1,391897,1.08116
LEAD_BRAKE_HARD,HIL-B,fixed_seed,2,391897,1.068163
LEAD_BRAKE_HARD,HIL-B,fixed_seed,3,391897,1.07263
LEAD_BRAKE_HARD,HIL-B,varied_seed,1,464106,1.144039
LEAD_BRAKE_HARD,HIL-B,varied_seed,2,635081,1.326717
LEAD_BRAKE_HARD,HIL-B,varied_seed,3,573248,1.153647
LEAD_BRAKE_HARD,HIL-B,varied_seed,4,798033,1.45902
LEAD_BRAKE_HARD,HIL-B,varied_seed,5,210154,0.988647
LEAD_BRAKE_HARD,HIL-C,fixed_seed,1,375344,1.303911
LEAD_BRAKE_HARD,HIL-C,fixed_seed,2,375344,1.303827
LEAD_BRAKE_HARD,HIL-C,fixed_seed,3,375344,1.382472
LEAD_BRAKE_HARD,HIL-C,varied_seed,1,764971,1.181933
LEAD_BRAKE_HARD,HIL-C,varied_seed,2,715802,1.345637
LEAD_BRAKE_HARD,HIL-C,varied_seed,3,422203,1.243816
LEAD_BRAKE_HARD,HIL-C,varied_seed,4,605516,1.618609
LEAD_BRAKE_HARD,HIL-C,varied_seed,5,32025,1.416923
LEAD_BRAKE_MODERATE,HIL-A,fixed_seed,1,296342,2.395769
LEAD_BRAKE_MODERATE,HIL-A,fixed_seed,2,296342,2.395769
LEAD_BRAKE_MODERATE,HIL-A,fixed_seed,3,296342,2.395769
LEAD_BRAKE_MODERATE,HIL-A,varied_seed,1,896206,1.86728
LEAD_BRAKE_MODERATE,HIL-A,varied_seed,2,723839,2.29135
LEAD_BRAKE_MODERATE,HIL-A,varied_seed,3,900160,2.324731
LEAD_BRAKE_MODERATE,HIL-A,varied_seed,4,70508,2.407651
LEAD_BRAKE_MODERATE,HIL-A,varied_seed,5,322869,2.751952
LEAD_BRAKE_MODERATE,HIL-B,fixed_seed,1,602066,2.216751
LEAD_BRAKE_MODERATE,HIL-B,fixed_seed,2,602066,2.216017
LEAD_BRAKE_MODERATE,HIL-B,fixed_seed,3,602066,2.216543
LEAD_BRAKE_MODERATE,HIL-B,varied_seed,1,383116,2.508948
LEAD_BRAKE_MODERATE,HIL-B,varied_seed,2,811909,1.968335
LEAD_BRAKE_MODERATE,HIL-B,varied_seed,3,207605,1.841185
LEAD_BRAKE_MODERATE,HIL-B,varied_seed,4,198346,1.911805
